Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6998b7b0daf21c1df43dd15c,5ff591cba89e1b000bfb9852,RETURNED,Not Applicable,2026-02-20T19:43:52.470000Z,,,2026-02-21T20:46:24.263222Z,,,19449,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6998b7d75cd4e97ff34f21ca,63eda5a4a87d8bd73853fa8e,AWAITING REVIEW,Not Applicable,2026-02-20T19:37:02.611000Z,2026-02-20T19:41:05.842000Z,,2026-02-20T19:41:06.443998Z,244,C10I7UA6,4648,36,Male,Asian,United States,United States,United States,English,No,Full-Time
6998b7d7fd4b69f53cc249c4,5b5a822e1ad8270001c4f28d,RETURNED,Not Applicable,2026-02-20T19:37:00.059000Z,,,2026-02-21T20:46:24.263199Z,,,17168,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6998b84361238fb7d3242eff,66231fc6e1ecba676935943a,AWAITING REVIEW,Not Applicable,2026-02-20T19:38:43.389000Z,2026-02-20T19:43:25.402000Z,,2026-02-20T19:43:25.784900Z,283,C10I7UA6,6818,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6998b866499493770bc694b8,5ff07b5ee7a1d23e719e421e,AWAITING REVIEW,Not Applicable,2026-02-20T19:39:22.905000Z,2026-02-20T19:43:27.348000Z,,2026-02-20T19:43:27.737098Z,245,NOCODE,14116,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6998b916b46862343f1fc639,655f95ffd90905e27c938a49,AWAITING REVIEW,Not Applicable,2026-02-20T19:42:14.055000Z,2026-02-20T19:48:46.903000Z,,2026-02-20T19:48:47.315638Z,393,C10I7UA6,6588,35,Female,Asian,United States,United States,United States,English,No,Full-Time
6998b9d4c4a2cc2e9a0c21b7,5d617ba9364f9a0019f1dac3,SCREENED OUT,Not Applicable,2026-02-20T19:45:24.692000Z,2026-02-20T19:46:55.583000Z,,2026-02-20T19:46:55.830811Z,91,C1DLJ7HW,15887,40,Female,Asian,Japan,United States,United States,Japanese,No,Full-Time
6998b9dc8ccde64ac8230443,606cf604adbb6982bb382881,AWAITING REVIEW,Not Applicable,2026-02-20T19:45:36.648000Z,2026-02-20T19:50:46.396000Z,,2026-02-20T19:50:46.768599Z,310,C10I7UA6,10536,40,Male,White,United States,United States,United States,English,No,Full-Time
6998b9fe776a8c2f64b7923d,671bbaf1bec15d847b871b9b,SCREENED OUT,Not Applicable,2026-02-20T19:46:12.913000Z,2026-02-20T19:48:13.899000Z,,2026-02-20T19:48:14.131614Z,121,C1DLJ7HW,6768,33,Male,Black,Kenya,United States,Kenya,English,No,Full-Time
6998ba7080f30d899a280881,616cf9ae07c1c6bd05d95beb,AWAITING REVIEW,Not Applicable,2026-02-20T19:48:05.908000Z,2026-02-20T19:52:46.896000Z,,2026-02-20T19:52:47.237714Z,281,C10I7UA6,12780,50,Male,White,United States,United States,United States,English,No,Full-Time
6998bcb2bbcf2708da1b1c18,67838c00a0e049fdf173f9bd,AWAITING REVIEW,Not Applicable,2026-02-20T19:57:45.266000Z,2026-02-20T20:06:40.097000Z,,2026-02-20T20:07:33.547073Z,535,C10I7UA6,6174,42,Female,Mixed,United States,United States,United States,English,No,Full-Time
6998bea5a0b4040ec7c28d09,64717245e1df4e34c97cca3f,AWAITING REVIEW,Not Applicable,2026-02-20T20:06:00.637000Z,2026-02-20T20:10:35.583000Z,,2026-02-20T20:10:35.950299Z,275,C10I7UA6,4956,66,Female,White,United States,United States,United States,English,No,Full-Time
6998bf1d8f70495f64e5053f,5db48b4d14dab8000de45fdf,AWAITING REVIEW,Not Applicable,2026-02-20T20:08:02.198000Z,2026-02-20T20:13:45.366000Z,,2026-02-20T20:13:45.761123Z,344,C10I7UA6,12961,49,Female,White,United States,United States,United States,English,No,Full-Time
6998c20741a3f865b21cb934,64345edc0fd9813bdd9ef181,AWAITING REVIEW,Not Applicable,2026-02-20T20:20:30.324000Z,2026-02-20T20:25:50.071000Z,,2026-02-20T20:25:50.453529Z,320,NOCODE,7321,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6998c2c336c7f3c8dfe39787,612fa6644526903f736cf925,AWAITING REVIEW,Not Applicable,2026-02-20T20:23:38.378000Z,2026-02-20T20:31:19.207000Z,,2026-02-20T20:31:19.562979Z,461,NOCODE,12950,61,Male,White,United States,United States,United States,English,No,Full-Time
6998c335799f09f946f7031a,5dd61f689740545c506ee244,SCREENED OUT,Not Applicable,2026-02-20T20:25:29.104000Z,2026-02-20T20:28:18.459000Z,,2026-02-20T20:28:18.704051Z,170,C1DLJ7HW,11391,44,Female,White,United States,United States,United States,English,No,Full-Time
6998c38ff5edb8efb4aff906,5b8dbff00c740e00019d861a,AWAITING REVIEW,Not Applicable,2026-02-20T20:26:58.769000Z,2026-02-20T20:32:25.097000Z,,2026-02-20T20:32:25.434835Z,327,C10I7UA6,3847,31,Female,White,United States,United States,United States,English,No,Full-Time
6998c42a74f79441694b6c66,6238b95932e705108020765a,SCREENED OUT,Not Applicable,2026-02-20T20:29:34.712000Z,2026-02-20T20:32:15.745000Z,,2026-02-20T20:32:16.001983Z,162,C1DLJ7HW,16197,32,Male,White,United States,United States,United States,English,No,Full-Time
6998c59af008f5e6e693789f,62aa4399fa1aadf5ab91fff8,AWAITING REVIEW,Not Applicable,2026-02-20T20:35:46.175000Z,2026-02-20T20:43:31.821000Z,,2026-02-20T20:43:32.240656Z,466,C10I7UA6,6241,53,Male,White,United States,United States,United States,English,No,Part-Time
6998c6e566a250a8c2826162,6680de3494e4607dcf95530d,AWAITING REVIEW,Not Applicable,2026-02-20T20:41:15.967000Z,2026-02-20T20:45:06.454000Z,,2026-02-20T20:45:07.447697Z,231,C10I7UA6,5981,32,Male,White,United States,United States,United States,English,No,Full-Time
6998c85742f87719198e9442,605fbc12c61d8d10250f6e51,AWAITING REVIEW,Not Applicable,2026-02-20T20:47:23.663000Z,2026-02-20T20:51:33.369000Z,,2026-02-20T20:51:33.743160Z,250,C10I7UA6,6033,29,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
6998c921c4e3ab1bbc7fcc6a,66ecded667f721bca7e5609d,APPROVED,Not Applicable,2026-02-20T20:51:35.136000Z,2026-02-20T20:55:42.870000Z,2026-02-21T18:49:55.407000Z,2026-02-20T20:55:43.241177Z,248,C10I7UA6,5881,33,Male,White,United States,United States,United States,English,No,Full-Time
6998c96d60b664a8674f1f3e,674c8549a9fd90b7c8dda9d3,AWAITING REVIEW,Not Applicable,2026-02-20T20:52:07.390000Z,2026-02-20T20:57:52.029000Z,,2026-02-20T20:57:52.454793Z,345,NOCODE,6133,40,Male,White,United States,United States,United States,English,No,Full-Time
6998ca082c0fb6fa8a221aeb,5db0a97f127d4000117cdfa0,AWAITING REVIEW,Not Applicable,2026-02-20T20:54:37.378000Z,2026-02-20T21:04:05.293000Z,,2026-02-20T21:04:05.679285Z,568,C10I7UA6,7044,49,Female,White,United States,United States,United States,English,No,Full-Time
6998ca6d58fa65c9dd1b6188,59cf062758b71700019882d4,AWAITING REVIEW,Not Applicable,2026-02-20T20:56:15.827000Z,2026-02-20T21:03:07.993000Z,,2026-02-20T21:03:08.366144Z,413,C10I7UA6,10608,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6998cbf543910534a54f5c56,663ae3f35b81791c40865be5,AWAITING REVIEW,Not Applicable,2026-02-20T21:02:49.255000Z,2026-02-20T21:09:04.626000Z,,2026-02-20T21:09:05.300535Z,376,C10I7UA6,3815,39,Female,White,United States,United States,United States,English,No,Part-Time
6998cc54d2e359169815e581,5e27868c5cbbcc0b3599574b,AWAITING REVIEW,Not Applicable,2026-02-20T21:04:24.511000Z,2026-02-20T21:10:02.059000Z,,2026-02-20T21:10:02.472237Z,338,C10I7UA6,12982,34,Male,White,United States,United States,United States,English,No,Full-Time
6998cfe6aa6db925bd7f31e5,602b3ed14ae791260d6d12c5,AWAITING REVIEW,Not Applicable,2026-02-20T21:19:39.260000Z,2026-02-20T21:24:48.426000Z,,2026-02-20T21:24:48.810221Z,310,C10I7UA6,5111,36,Male,White,United States,United States,United States,English,No,Full-Time
6998d1e740e08bbe302eeb00,6110888158573651261c3100,AWAITING REVIEW,Not Applicable,2026-02-20T21:28:13.240000Z,2026-02-20T21:33:30.636000Z,,2026-02-20T21:33:30.997003Z,318,C10I7UA6,5402,61,Female,White,United States,United States,United States,English,No,Part-Time
6998d2f0d44dc0e776c85d93,644bc265cb8a19eab3311bab,AWAITING REVIEW,Not Applicable,2026-02-20T21:32:38.297000Z,2026-02-20T21:41:41.069000Z,,2026-02-20T21:41:41.442509Z,543,NOCODE,5877,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6998d70c1db3501f67cd1387,6314c1e76c3f71e2127f1976,AWAITING REVIEW,Not Applicable,2026-02-20T21:50:09.349000Z,2026-02-20T21:54:34.246000Z,,2026-02-20T21:54:34.674985Z,265,C10I7UA6,6748,45,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6998dd18d6067273c1ce5421,62e02660c3ef175825ab7655,AWAITING REVIEW,Not Applicable,2026-02-20T22:16:02.231000Z,2026-02-20T22:23:44.673000Z,,2026-02-20T22:23:45.058216Z,463,C10I7UA6,10822,34,Female,White,United States,United States,United States,English,No,Full-Time
69992a0fab5571a9f445ae3d,5cce9b46b09ec90015f3ef05,AWAITING REVIEW,Not Applicable,2026-02-21T03:44:18.134000Z,2026-02-21T03:50:34.251000Z,,2026-02-21T03:50:34.609927Z,377,C10I7UA6,898,27,Female,White,United States,United States,United States,English,Yes,Part-Time
699946c667dd064aff679cf4,60e769ec9858960e8ad00886,AWAITING REVIEW,Not Applicable,2026-02-21T05:46:50.382000Z,2026-02-21T05:52:30.283000Z,,2026-02-21T05:52:30.649565Z,340,C10I7UA6,4766,48,Male,Asian,Korea,United States,United States,English,No,Full-Time
6999a8767f64c556aa80aaf1,6648c20d6429196c77d342d9,AWAITING REVIEW,Not Applicable,2026-02-21T12:43:37.580000Z,2026-02-21T12:49:00.252000Z,,2026-02-21T12:49:00.621256Z,323,C10I7UA6,3002,41,Female,Black,United States,United States,United States,English,No,Full-Time
6999b14159b3e0de643bf001,5ba849b3a2a1ae0001f08d2d,AWAITING REVIEW,Not Applicable,2026-02-21T13:21:08.442000Z,2026-02-21T13:27:26.004000Z,,2026-02-21T13:27:26.368391Z,378,C10I7UA6,9082,24,Male,White,United States,United States,United States,English,No,Full-Time
6999c776736b94851439a6d2,5ecaf0fa5c1f7f6599d959ff,AWAITING REVIEW,Not Applicable,2026-02-21T14:56:00.646000Z,2026-02-21T15:00:15.932000Z,,2026-02-21T15:00:16.305695Z,256,C10I7UA6,9562,51,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6999da3fa6d3ddf18a1b1c00,63671bfc81a5eca4218b6417,AWAITING REVIEW,Not Applicable,2026-02-21T16:16:02.572000Z,2026-02-21T16:23:14.015000Z,,2026-02-21T16:23:14.368376Z,432,C10I7UA6,13486,54,Male,Asian,United States,United States,United States,English,No,Full-Time
6999dc71531f81d10b4179c5,5b9dd07de671c60001226b79,AWAITING REVIEW,Not Applicable,2026-02-21T16:25:25.322000Z,2026-02-21T16:29:50.900000Z,,2026-02-21T16:29:51.300569Z,266,C10I7UA6,4607,26,Female,White,United States,United States,United States,English,No,Other
6999f802460021aee0a56ec6,66497704c55b6a0ac500cb61,AWAITING REVIEW,Not Applicable,2026-02-21T18:23:01.168000Z,2026-02-21T18:44:32.607000Z,,2026-02-21T18:44:32.981215Z,1292,C10I7UA6,2944,32,Male,White,United States,United States,United States,English,No,Full-Time
699a0dbdf0f80f66d11da96f,60de9c66c01a9de405e9efb0,RETURNED,Not Applicable,2026-02-21T19:55:55.494000Z,,,2026-02-21T20:46:24.265926Z,,,10452,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
699a1b1c4122bcaa9389d3d2,6990ca01ca554d7c92921baa,AWAITING REVIEW,Not Applicable,2026-02-21T20:53:18.988000Z,2026-02-21T20:59:53.193000Z,,2026-02-22T02:16:11.117223Z,395,C10I7UA6,31,38,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
699a347338653e057d1dcb63,628eada3a9c9e0776884f27d,AWAITING REVIEW,Not Applicable,2026-02-21T22:40:55.700000Z,2026-02-21T22:45:42.523000Z,,2026-02-21T22:45:42.891939Z,287,C10I7UA6,7982,33,Male,Mixed,United States,United States,United States,English,No,Full-Time
699a3e1da7456233802f22df,5eceed79840590300f53fa51,AWAITING REVIEW,Not Applicable,2026-02-21T23:22:14.690000Z,2026-02-21T23:27:39.200000Z,,2026-02-21T23:27:39.561658Z,325,C10I7UA6,9937,31,Male,White,United States,United States,United States,English,No,Full-Time
699a48978f523232ddff503d,695ff06044ca743d0c309f99,AWAITING REVIEW,Not Applicable,2026-02-22T00:06:50.841000Z,2026-02-22T00:11:55.538000Z,,2026-02-22T00:11:55.971518Z,305,C10I7UA6,68,21,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
699a800230fd17c330122e32,60712d937752fb8780e89951,AWAITING REVIEW,Not Applicable,2026-02-22T04:03:16.742000Z,2026-02-22T04:18:39.032000Z,,2026-02-22T04:18:39.409934Z,923,C10I7UA6,13886,37,Male,White,United States,United States,United States,English,No,Full-Time
699a82c18bb71e0470c358b5,5f111456d672e8471ca03f46,AWAITING REVIEW,Not Applicable,2026-02-22T04:15:41.859000Z,2026-02-22T04:27:56.311000Z,,2026-02-22T04:27:56.675994Z,735,C10I7UA6,3508,39,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
699aeb79125d47fe1012541c,62ac706d8544dbe5a81b4212,AWAITING REVIEW,Not Applicable,2026-02-22T11:41:49.257000Z,2026-02-22T11:46:49.315000Z,,2026-02-22T11:46:49.719811Z,301,C10I7UA6,5962,32,Female,White,United States,United States,United States,English,No,Full-Time
699aed37eb092c99aa089dc3,568899d9d7848e0005399c6b,AWAITING REVIEW,Not Applicable,2026-02-22T11:49:17.196000Z,2026-02-22T11:54:45.859000Z,,2026-02-22T11:54:46.264821Z,329,C10I7UA6,10909,43,Male,White,United States,United States,United States,English,No,Full-Time
699b1cad493b3483cee7b870,5758a78d768081000631a322,AWAITING REVIEW,Not Applicable,2026-02-22T15:11:45.366000Z,2026-02-22T15:15:26.399000Z,,2026-02-22T15:15:26.819648Z,222,C10I7UA6,9867,57,Female,White,United States,United States,United States,English,No,Part-Time
699b2573bc9d9bba3b39a719,5ba9873edd59150001384069,AWAITING REVIEW,Not Applicable,2026-02-22T15:49:12.476000Z,2026-02-22T15:53:42.503000Z,,2026-02-22T15:53:42.888463Z,271,C10I7UA6,2731,29,Male,White,United States,United States,United States,English,No,Full-Time
699b296819ab656a93fdbba9,63d84be2c9a21026d442e728,AWAITING REVIEW,Not Applicable,2026-02-22T16:06:02.505000Z,2026-02-22T16:15:11.462000Z,,2026-02-22T16:15:11.868660Z,549,C10I7UA6,10088,31,Male,White,United States,United States,United States,Spanish,No,Full-Time
699b29ac63aa5be0950774b1,66293cc1dcfaa310dd0f711b,AWAITING REVIEW,Not Applicable,2026-02-22T16:07:12.185000Z,2026-02-22T16:11:12.949000Z,,2026-02-22T16:11:13.298824Z,241,C10I7UA6,6374,52,Male,White,United States,United States,United States,English,No,Full-Time
699b4adec0109239509300ed,5e0a2f6377f8652c6fc3f887,AWAITING REVIEW,Not Applicable,2026-02-22T18:28:53.494000Z,2026-02-22T18:35:08.601000Z,,2026-02-22T18:35:08.968501Z,376,C10I7UA6,6136,33,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
699b59fe3c39b19cee28e31c,5ca88c7900dbf0000127c5d5,AWAITING REVIEW,Not Applicable,2026-02-22T19:33:24.194000Z,2026-02-22T19:47:46.903000Z,,2026-02-22T19:47:47.262897Z,863,C10I7UA6,4083,40,Male,White,United States,United States,United States,English,No,Full-Time
699b5e8a7f71808cf644f7e9,616b5241d8eb9504f10a5cb2,AWAITING REVIEW,Not Applicable,2026-02-22T19:52:46.715000Z,2026-02-22T20:02:44.144000Z,,2026-02-22T20:02:44.558142Z,598,C10I7UA6,11765,61,Female,Mixed,United States,United States,United States,English,No,Full-Time
699b69f8b7bb56aa6a2c21c3,60c969c12749ced10866921d,AWAITING REVIEW,Not Applicable,2026-02-22T20:41:34.033000Z,2026-02-22T20:46:19.020000Z,,2026-02-22T20:46:19.365718Z,285,NOCODE,11656,63,Male,White,United States,United States,United States,English,No,Full-Time
699be695813cda445ecee265,56259489ed6e5a0005c80fde,AWAITING REVIEW,Not Applicable,2026-02-23T05:33:12.435000Z,2026-02-23T05:39:13.486000Z,,2026-02-23T05:39:14.304005Z,362,C10I7UA6,11263,39,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
699c6ba55ff7eb9f1dd424f4,66b01097e95b0626c2cd7b5c,AWAITING REVIEW,Not Applicable,2026-02-23T15:00:57.469000Z,2026-02-23T15:07:05.449000Z,,2026-02-23T15:07:05.818364Z,368,C10I7UA6,4750,27,Male,Mixed,United States,United States,United States,Spanish,Yes,Full-Time
699c73337ff14454b08b3959,5c224f5289f0350001738d48,AWAITING REVIEW,Not Applicable,2026-02-23T15:33:11.476000Z,2026-02-23T15:41:01.262000Z,,2026-02-23T15:41:01.639732Z,470,C10I7UA6,6537,33,Female,Other,United States,United States,United States,Spanish,No,Full-Time
699bc0bd51fb452a38eab7e6,615b76e05c1c5a26e46f1b3e,RETURNED,Not Applicable,2026-02-23T02:51:45.246000Z,,,,,,5041,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
699c82df6503660fe9761340,66661b1242b581f199e49f4c,RETURNED,Not Applicable,2026-02-23T16:40:02.883000Z,,,,,,5294,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
